,Company,TypeName,Ram,Gpu,OpSys,Weight,Price,Touchscreen,IPS_Panel,Res_Per_Inches,Cpu_Brand,HDD,SSD
0,Apple,Ultrabook,8,Intel,macOS,1.37,71378.6832,0,1,226.98300468106115,Intel Core i5,0,128
1,Apple,Ultrabook,8,Intel,macOS,1.34,47895.5232,0,0,127.67794013309688,Intel Core i5,0,0
2,HP,Notebook,8,Intel,No OS/Linux/Chrome/Android,1.86,30636.0,0,0,141.21199808219862,Intel Core i5,0,256
3,Apple,Ultrabook,16,AMD,macOS,1.83,135195.33599999998,0,1,220.53462386625827,Intel Core i7,0,512
4,Apple,Ultrabook,8,Intel,macOS,1.37,96095.808,0,1,226.98300468106115,Intel Core i5,0,256
5,Acer,Notebook,4,AMD,Windows,2.1,21312.0,0,0,100.45466986113651,AMD Processor,500,0
6,Apple,Ultrabook,16,Intel,macOS,2.04,114017.6016,0,1,220.53462386625827,Intel Core i7,0,0
7,Apple,Ultrabook,8,Intel,macOS,1.34,61735.53599999999,0,0,127.67794013309688,Intel Core i5,0,0
8,Asus,Ultrabook,16,Nvidia,Windows,1.3,79653.59999999999,0,0,157.3505121487356,Intel Core i7,0,512
9,Acer,Ultrabook,8,Intel,Windows,1.6,41025.6,0,1,157.3505121487356,Intel Core i5,0,256
10,HP,Notebook,4,Intel,No OS/Linux/Chrome/Android,1.86,20986.992000000002,0,0,100.45466986113651,Intel Core i5,500,0
11,HP,Notebook,4,Intel,No OS/Linux/Chrome/Android,1.86,18381.0672,0,0,141.21199808219862,Intel Core i3,500,0
12,Apple,Ultrabook,16,AMD,macOS,1.83,130001.6016,0,1,220.53462386625827,Intel Core i7,0,256
13,Dell,Notebook,4,AMD,Windows,2.2,26581.392,0,0,141.21199808219862,Intel Core i3,0,256
14,Apple,Ultrabook,8,Intel,macOS,0.92,67260.672,0,1,226.41554716935852,Other Intel Processor,0,256
15,Apple,Ultrabook,8,Intel,macOS,1.37,80908.344,0,1,226.98300468106115,Intel Core i5,0,256
16,Dell,Notebook,8,AMD,Windows,2.2,39693.6,0,0,141.21199808219862,Intel Core i7,0,256
17,Apple,Ultrabook,16,AMD,macOS,1.83,152274.24,0,1,220.53462386625827,Intel Core i7,0,512
18,Lenovo,Notebook,8,Nvidia,No OS/Linux/Chrome/Android,2.2,26586.72,0,0,141.21199808219862,Intel Core i3,1000,0
19,Dell,Ultrabook,8,Intel,Windows,1.22,52161.12,1,1,165.6321180513006,Intel Core i5,0,128
20,Asus,Netbook,2,Intel,Windows,0.98,10224.431999999999,0,0,135.0942111925629,Other Intel Processor,0,0
21,Lenovo,Gaming,8,Nvidia,Windows,2.5,53226.72,0,1,141.21199808219862,Intel Core i5,1000,128
22,HP,Notebook,4,AMD,No OS/Linux/Chrome/Android,1.86,13746.24,0,0,100.45466986113651,AMD Processor,500,0
23,Dell,2 in 1 Convertible,8,Intel,Windows,1.62,43636.32,1,0,165.6321180513006,Intel Core i5,0,256
24,HP,Ultrabook,8,Intel,Windows,1.91,35111.52,0,0,141.21199808219862,Intel Core i7,0,256
25,Dell,Notebook,4,Intel,Windows,2.3,22305.1392,0,0,100.45466986113651,Intel Core i3,1000,0
26,Apple,Ultrabook,8,Intel,macOS,1.35,58554.72,0,0,127.67794013309688,Intel Core i5,0,0
27,Dell,Notebook,8,AMD,Windows,2.2,42624.0,0,0,141.21199808219862,Intel Core i5,0,256
28,Dell,Ultrabook,8,Intel,Windows,1.88,69157.44,0,0,141.21199808219862,Intel Core i7,0,512
29,HP,Notebook,8,Nvidia,Windows,2.5,47738.88,0,0,127.33567457123111,Intel Core i5,1000,0
31,Asus,Notebook,2,AMD,Windows,1.65,10602.72,0,0,111.93520355955211,AMD Processor,0,0
32,HP,Notebook,4,AMD,Windows,2.71,23389.92,0,0,127.33567457123111,AMD Processor,500,0
33,Dell,Ultrabook,16,Intel,Windows,1.2,99580.32,1,0,276.053530085501,Intel Core i7,0,512
34,Apple,Ultrabook,8,Intel,macOS,1.35,53173.44,0,0,127.67794013309688,Intel Core i5,0,0
35,Lenovo,Notebook,4,Intel,Windows,1.44,13266.72,0,0,111.93520355955211,Other Intel Processor,0,0
36,Acer,Notebook,4,Intel,No OS/Linux/Chrome/Android,2.1,19553.76,0,0,100.45466986113651,Intel Core i3,1000,0
37,Dell,Notebook,8,AMD,Windows,2.8,52161.12,0,1,127.33567457123111,Intel Core i5,1000,128
38,HP,Notebook,4,Intel,Windows,1.86,26037.4032,0,0,100.45466986113651,Intel Core i5,1000,0
39,HP,Notebook,8,Nvidia,Windows,2.1,46833.12,0,0,141.21199808219862,Intel Core i5,0,256
40,Asus,Notebook,4,Intel,No OS/Linux/Chrome/Android,2.0,20725.92,0,0,141.21199808219862,Intel Core i3,1000,0
41,Dell,Gaming,16,Nvidia,Windows,2.65,79866.72,0,1,141.21199808219862,Intel Core i7,1000,256
42,Asus,Notebook,8,Nvidia,No OS/Linux/Chrome/Android,2.3,27864.9072,0,0,100.45466986113651,Intel Core i5,1000,0
43,Acer,Notebook,4,Intel,Windows,2.2,36336.96,0,1,141.21199808219862,Intel Core i5,0,256
44,Dell,2 in 1 Convertible,12,Nvidia,Windows,2.77,53226.72,1,0,127.33567457123111,Intel Core i5,1000,0
45,Apple,Ultrabook,8,Intel,macOS,1.37,75604.31999999999,0,1,226.98300468106115,Intel Core i5,0,256
46,Lenovo,Notebook,4,Intel,No OS/Linux/Chrome/Android,2.2,19660.32,0,0,100.45466986113651,Intel Core i3,0,128
47,Asus,Gaming,8,AMD,Windows,3.2,69210.72,0,0,127.33567457123111,AMD Processor,1000,256
48,Dell,Notebook,4,AMD,Windows,2.3,34045.92,0,0,141.21199808219862,Intel Core i5,0,256
49,Asus,Notebook,4,Nvidia,Windows,2.8,24828.48,0,0,90.58340172449303,Other Intel Processor,1000,0
50,Lenovo,2 in 1 Convertible,4,Intel,No OS/Linux/Chrome/Android,0.69,16996.32,1,1,224.17380907857276,Other Intel Processor,0,0
51,Acer,Notebook,8,Nvidia,Windows,2.2,44808.48,0,1,141.21199808219862,Intel Core i7,0,256
52,HP,Notebook,4,AMD,Windows,1.86,21231.5472,0,0,141.21199808219862,AMD Processor,0,256
53,HP,Notebook,8,Intel,Windows,1.49,58767.84,0,0,165.6321180513006,Intel Core i7,0,512
54,Acer,Notebook,4,Intel,Windows,2.4,20459.52,0,0,100.45466986113651,Intel Core i3,1000,0
55,Dell,Notebook,8,AMD,Windows,2.13,40908.384,0,0,141.21199808219862,Intel Core i7,0,256
56,HP,Notebook,4,Intel,Windows,1.91,23389.92,0,0,141.21199808219862,Intel Core i3,0,128
57,Asus,Notebook,4,Intel,Windows,2.0,31232.203200000004,0,0,100.45466986113651,Intel Core i5,0,256
58,MSI,Gaming,16,Nvidia,Windows,2.43,130482.72,0,0,127.33567457123111,Intel Core i7,2000,256
59,Asus,Notebook,4,Intel,No OS/Linux/Chrome/Android,2.0,22111.2,0,0,141.21199808219862,Intel Core i3,0,256
60,Dell,Notebook,16,AMD,Windows,2.8,69210.72,0,0,127.33567457123111,Intel Core i7,2000,256
61,Dell,Ultrabook,8,Intel,Windows,1.7,46833.12,0,0,157.3505121487356,Intel Core i5,0,256
62,Lenovo,Notebook,8,Intel,No OS/Linux/Chrome/Android,1.7,31914.72,0,1,157.3505121487356,Intel Core i3,0,256
63,Asus,Notebook,8,Intel,Windows,1.4,50136.48,0,0,157.3505121487356,Intel Core i5,0,256
64,HP,Notebook,8,Intel,Windows,1.86,36763.2,0,0,141.21199808219862,Intel Core i5,0,256
65,Asus,Ultrabook,16,Nvidia,Windows,1.8,105654.24,0,0,141.21199808219862,Intel Core i7,0,512
66,HP,Notebook,4,AMD,Windows,1.86,23373.4032,0,0,100.45466986113651,Intel Core i3,500,0
67,HP,Notebook,4,Intel,Windows,1.44,12201.12,0,0,111.93520355955211,Other Intel Processor,0,32
68,Lenovo,Notebook,4,Intel,Windows,1.9,29250.72,0,0,141.21199808219862,Intel Core i5,1000,0
69,Asus,Gaming,12,Nvidia,No OS/Linux/Chrome/Android,3.0,50562.72,0,0,127.33567457123111,Intel Core i7,1000,0
70,Microsoft,Ultrabook,4,Intel,Windows,1.252,58021.92,1,0,200.84255993695703,Intel Core i5,0,128
71,Dell,Ultrabook,8,AMD,Windows,1.4,50882.4,0,1,165.6321180513006,Intel Core i7,0,256
72,Dell,Notebook,8,AMD,Windows,2.2,46353.6,0,0,141.21199808219862,Intel Core i7,0,256
73,MSI,Gaming,8,Nvidia,Windows,2.7,58341.6,0,0,127.33567457123111,Intel Core i5,1000,128
74,Acer,Notebook,8,Intel,Windows,2.1,20725.92,0,0,111.93520355955211,Intel Core i3,1000,0
75,Asus,Gaming,8,Nvidia,Windows,2.2,50562.72,0,0,141.21199808219862,Intel Core i7,1000,0
76,Lenovo,Notebook,8,Intel,No OS/Linux/Chrome/Android,2.2,27652.32,0,0,141.21199808219862,Intel Core i5,2000,0
77,Dell,Notebook,8,Intel,Windows,2.02,45554.4,0,0,141.21199808219862,Intel Core i7,1000,128
78,Acer,Notebook,4,Nvidia,Windows,2.2,28238.4,0,0,141.21199808219862,Intel Core i3,1000,0
79,HP,Notebook,8,Nvidia,Windows,2.5,52054.56,0,0,127.33567457123111,Intel Core i5,1000,128
80,Dell,Ultrabook,8,Intel,Windows,1.88,58403.4048,0,1,141.21199808219862,Intel Core i5,0,256
81,Apple,Ultrabook,8,Intel,macOS,0.92,80452.8,0,1,226.41554716935852,Intel Core i5,0,512
82,HP,Notebook,8,Intel,Windows,1.63,45820.8,0,0,157.3505121487356,Intel Core i5,0,256
83,Lenovo,Notebook,4,AMD,Windows,2.2,21258.72,0,0,141.21199808219862,AMD Processor,0,128
84,Acer,Notebook,4,AMD,Windows,2.1,21045.6,0,0,100.45466986113651,AMD Processor,1000,0
85,Dell,Gaming,16,Nvidia,Windows,2.65,71874.72,0,1,141.21199808219862,Intel Core i7,1000,128
86,HP,Ultrabook,8,Nvidia,Windows,1.83,37242.72,0,1,141.21199808219862,Intel Core i7,0,256
87,HP,Notebook,8,Intel,Windows,1.96,31914.1872,0,0,141.21199808219862,Intel Core i5,0,256
88,Asus,Gaming,16,Nvidia,Windows,2.2,77202.72,0,1,141.21199808219862,Intel Core i7,1000,128
89,Dell,Ultrabook,8,Intel,Windows,1.21,87858.72,0,1,165.6321180513006,Intel Core i7,0,256
90,Asus,Gaming,8,AMD,Windows,2.45,37242.72,0,0,141.21199808219862,AMD Processor,1000,0
91,Acer,Notebook,8,Nvidia,Windows,2.2,36709.92,0,0,141.21199808219862,Intel Core i7,1000,0
92,HP,Notebook,16,Intel,Windows,1.49,63776.16,0,0,165.6321180513006,Intel Core i7,0,512
93,Dell,Gaming,8,Nvidia,Windows,2.65,63669.6,0,0,141.21199808219862,Intel Core i5,0,256
94,Asus,Ultrabook,8,Intel,Windows,1.25,55890.72,0,0,157.3505121487356,Intel Core i7,0,256
95,Acer,2 in 1 Convertible,8,Intel,Windows,1.5,45128.16,1,1,165.6321180513006,Intel Core i5,0,256
96,Dell,Notebook,8,AMD,No OS/Linux/Chrome/Android,2.2,31962.672000000002,0,0,141.21199808219862,Intel Core i7,1000,0
97,Dell,Notebook,4,AMD,No OS/Linux/Chrome/Android,2.2,25840.8,0,0,141.21199808219862,Intel Core i3,0,256
98,Asus,Notebook,6,Nvidia,Windows,2.0,30742.56,0,0,141.21199808219862,Intel Core i3,0,256
99,HP,Gaming,12,Nvidia,Windows,2.62,66546.72,0,1,141.21199808219862,Intel Core i7,1000,128
100,HP,Notebook,8,AMD,Windows,1.91,38308.32,0,0,141.21199808219862,Intel Core i7,0,256
101,HP,Notebook,4,AMD,Windows,2.1,18594.72,0,0,141.21199808219862,AMD Processor,500,0
102,Dell,Notebook,8,AMD,No OS/Linux/Chrome/Android,2.2,34472.16,0,0,141.21199808219862,Intel Core i5,1000,0
103,HP,Ultrabook,8,Nvidia,Windows,1.38,59620.32,0,1,165.6321180513006,Intel Core i7,0,256
104,Microsoft,Ultrabook,8,Intel,Windows,1.252,71395.2,1,0,200.84255993695703,Intel Core i5,0,256
105,HP,Notebook,6,Nvidia,Windows,1.58,35111.52,0,1,157.3505121487356,Intel Core i5,0,256
106,Lenovo,Notebook,4,Intel,Windows,1.85,22105.872000000003,0,0,141.21199808219862,Intel Core i3,1000,0
107,Asus,Ultrabook,8,Nvidia,Windows,1.3,63563.04,0,1,157.3505121487356,Intel Core i7,0,256
108,MSI,Gaming,16,Nvidia,Windows,2.2,69210.72,0,0,141.21199808219862,Intel Core i7,1000,256
109,Lenovo,Notebook,8,Intel,Windows,1.58,78854.4,0,1,157.3505121487356,Intel Core i7,0,256
110,Asus,Ultrabook,16,Nvidia,Windows,1.5,67239.36,0,0,141.21199808219862,Intel Core i7,1000,256
111,Dell,Ultrabook,8,Intel,Windows,1.23,73473.12,1,0,276.053530085501,Intel Core i7,0,256
112,Lenovo,2 in 1 Convertible,8,Intel,Windows,1.37,74538.72,1,1,165.6321180513006,Intel Core i5,0,256
113,HP,Notebook,4,Intel,Windows,1.63,38468.16,0,1,111.93520355955211,Intel Core i5,500,0
114,Dell,Ultrabook,8,Intel,Windows,1.21,86793.12,0,1,165.6321180513006,Intel Core i5,0,256
115,HP,2 in 1 Convertible,8,Intel,Windows,1.26,74538.1872,1,1,165.6321180513006,Intel Core i5,0,256
116,HP,Notebook,8,Intel,Windows,1.63,57755.52,0,0,157.3505121487356,Intel Core i7,0,512
117,Dell,Notebook,8,Nvidia,Windows,2.16,60223.98239999999,0,1,141.21199808219862,Intel Core i7,1000,256
118,Asus,Notebook,4,Nvidia,Windows,2.0,30049.92,0,0,127.33567457123111,Intel Core i3,1000,0
119,Asus,Notebook,8,Nvidia,Windows,1.7,59567.04,0,0,141.21199808219862,Intel Core i7,0,256
120,Acer,Notebook,6,Intel,Windows,2.1,25521.12,1,1,141.21199808219862,Intel Core i3,1000,0
121,MSI,Gaming,16,Nvidia,Windows,1.8,119427.12,0,0,141.21199808219862,Intel Core i7,2000,256
122,Lenovo,Notebook,8,Nvidia,No OS/Linux/Chrome/Android,2.2,33513.119999999995,0,0,141.21199808219862,Intel Core i5,0,256
123,HP,Notebook,16,Nvidia,Windows,2.5,67718.88,0,0,127.33567457123111,Intel Core i7,0,512
124,Acer,Notebook,4,AMD,Windows,2.1,24029.28,0,0,100.45466986113651,AMD Processor,0,256
125,HP,Notebook,4,Intel,No OS/Linux/Chrome/Android,1.86,13799.52,0,0,100.45466986113651,Other Intel Processor,500,0
126,HP,Notebook,8,Intel,Windows,1.63,43263.36,0,0,157.3505121487356,Intel Core i5,1000,0
127,Asus,Notebook,4,AMD,Windows,1.65,14811.3072,0,0,111.93520355955211,AMD Processor,0,64
128,Dell,Notebook,16,AMD,Windows,2.8,74378.87999999999,0,0,127.33567457123111,Intel Core i7,2000,256
129,HP,Notebook,8,Intel,Windows,2.5,49443.84,0,0,127.33567457123111,Intel Core i5,0,256
130,Dell,Notebook,8,AMD,Windows,2.36,34045.3872,0,0,100.45466986113651,Intel Core i5,1000,0
131,Dell,Notebook,4,AMD,Windows,2.2,23922.72,0,0,141.21199808219862,Intel Core i3,1000,0
132,Acer,Ultrabook,8,Intel,Windows,1.6,47099.52,0,1,157.3505121487356,Intel Core i7,0,256
133,Acer,Notebook,4,Nvidia,Windows,2.2,30476.16,0,0,141.21199808219862,Intel Core i3,0,256
134,HP,Notebook,8,Intel,Windows,2.05,31861.44,0,0,100.45466986113651,Intel Core i7,1000,0
135,HP,Notebook,8,Intel,Windows,1.63,52640.64,0,0,157.3505121487356,Intel Core i7,0,256
136,Lenovo,Notebook,4,Intel,No OS/Linux/Chrome/Android,1.9,13445.7408,0,0,100.45466986113651,Other Intel Processor,1000,0
